movie_id,movie_title
146,For Your Eyes Only (1981)
147,Ruthless People (1986)
148,"Mission, The (1986)"
149,Creepshow (1982)
150,Little Shop of Horrors (1986)
151,"Fiendish Plot of Dr. Fu Manchu, The (1980)"
152,"Last Temptation of Christ, The (1988)"
153,Desperately Seeking Susan (1985)
154,Robocop (1987)
155,Tequila Sunrise (1988)
156,Arthur (1981)
157,Gremlins (1984)
158,Child's Play (1988)
159,Weird Science (1985)
160,"Cook the Thief His Wife & Her Lover, The (1989)"
161,Superman II (1980)
162,"View to a Kill, A (1985)"
163,"Man with Two Brains, The (1983)"
164,Conan the Barbarian (1982)
165,St. Elmo's Fire (1985)
166,Dune (1984)
167,Harry and the Hendersons (1987)
168,From the Hip (1987)
169,Ghostbusters II (1989)
170,European Vacation (1985)
171,Police Academy (1984)
172,"Fly II, The (1989)"
173,Friday the 13th (1980)
174,Star Trek V: The Final Frontier (1989)
175,Rocky III (1982)
176,Rocky IV (1985)
177,Cocoon: The Return (1988)
178,Creepshow 2 (1987)
179,Crocodile Dundee II (1988)
180,Weekend at Bernie's (1989)
181,Class (1983)
182,Pet Sematary (1989)
183,Rambo: First Blood Part II (1985)
184,"Clan of the Cave Bear, The (1986)"
185,"Karate Kid, Part II, The (1986)"
186,Woman in the Dunes (Suna no onna) (1964)
187,Citizen Kane (1941)
188,Raging Bull (1980)
189,"Shop Around the Corner, The (1940)"
190,Touch of Evil (1958)
191,Rear Window (1954)
192,"Bicycle Thief, The (Ladri di biciclette) (1948)"
193,"Maltese Falcon, The (1941)"
194,Central Station (Central do Brasil) (1998)
195,Star Wars: Episode IV - A New Hope (1977)
196,Twin Peaks: Fire Walk with Me (1992)
197,One Flew Over the Cuckoo's Nest (1975)
198,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
199,"Graduate, The (1967)"
200,North by Northwest (1959)
201,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
202,Annie Hall (1977)
203,Taxi Driver (1976)
204,Some Like It Hot (1959)
205,Three Colors: Red (1994)
206,Apocalypse Now (1979)
207,Metropolis (1926)
208,"Treasure of the Sierra Madre, The (1948)"
209,Cool Hand Luke (1967)
210,"Hard Day's Night, A (1964)"
211,Harold and Maude (1971)
212,Psycho (1960)
213,GoodFellas (1990)
214,Grand Hotel (1932)
215,Man Facing Southeast (Hombre Mirando al Sudeste) (1986)
216,"Streetcar Named Desire, A (1951)"
217,Five Easy Pieces (1970)
218,Monty Python and the Holy Grail (1974)
219,"Bridge on the River Kwai, The (1957)"
220,Election (1999)
221,M*A*S*H (1970)
222,Pulp Fiction (1994)
223,"Player, The (1992)"
224,Raise the Red Lantern (1991)
225,Midnight Cowboy (1969)
226,8 1/2 (1963)
227,"White Balloon, The (Badkonake Sefid ) (1995)"
228,Vertigo (1958)
229,Spartacus (1960)
230,"Grand Illusion (Grande illusion, La) (1937)"
231,After Life (1998)
232,Thelma & Louise (1991)
233,Wallace & Gromit: The Best of Aardman Animation (1996)
234,Dead Man Walking (1995)
235,Cinema Paradiso (1988)
236,2001: A Space Odyssey (1968)
237,"Sweet Hereafter, The (1997)"
238,12 Angry Men (1957)
239,On the Waterfront (1954)
240,Notorious (1946)
241,Leaving Las Vegas (1995)
242,Breaking Away (1979)
243,Monty Python's Life of Brian (1979)
244,Toy Story (1995)
245,Gone with the Wind (1939)
246,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
247,Frankenstein (1931)
248,Young Frankenstein (1974)
249,Close Encounters of the Third Kind (1977)
250,"Deer Hunter, The (1978)"
251,Invasion of the Body Snatchers (1956)
252,Vanya on 42nd Street (1994)
253,"Blue Angel, The (Blaue Engel, Der) (1930)"
254,Roman Holiday (1953)
255,Crimes and Misdemeanors (1989)
256,Singin' in the Rain (1952)
257,"Ice Storm, The (1997)"
258,"Clockwork Orange, A (1971)"
259,Being John Malkovich (1999)
260,Secrets & Lies (1996)
261,Rebel Without a Cause (1955)
262,Belle de jour (1967)
263,Serpico (1973)
264,Blood Simple (1984)
265,Alien (1979)
266,Dracula (1958)
267,Mildred Pierce (1945)
268,Waiting for Guffman (1996)
269,Nashville (1975)
270,Network (1976)
271,Key Largo (1948)
272,Nell (1994)
273,Doctor Zhivago (1965)
274,My Man Godfrey (1936)
275,Harvey (1950)
276,"General, The (1927)"
277,Go West (1925)
278,"Christmas Story, A (1983)"
279,Animal House (1978)
280,Arsenic and Old Lace (1944)
281,"Midsummer Night's Dream, A (1999)"
282,Bringing Up Baby (1938)
283,Manhattan (1979)
284,"Producers, The (1968)"
285,Mary Poppins (1964)
286,"Princess Bride, The (1987)"
287,Auntie Mame (1958)
288,"Grand Day Out, A (1992)"
289,His Girl Friday (1940)
290,Wings of Desire (Der Himmel über Berlin) (1987)
291,To Catch a Thief (1955)
292,Shall We Dance? (1937)
293,"Gay Divorcee, The (1934)"
294,"Band Wagon, The (1953)"
295,Butch Cassidy and the Sundance Kid (1969)
296,Notting Hill (1999)
297,Galaxy Quest (1999)
298,Back to the Future (1985)
299,Mister Roberts (1955)
300,Bananas (1971)
301,American Graffiti (1973)
302,Pollyanna (1960)
303,Groundhog Day (1993)
304,"Apartment, The (1960)"
305,"Muppet Movie, The (1979)"
306,Charade (1963)
307,You Can't Take It With You (1938)
308,Beetlejuice (1988)
309,Top Hat (1935)
310,Strictly Ballroom (1992)
311,Around the World in 80 Days (1956)
312,Little Big Man (1970)
313,"Hudsucker Proxy, The (1994)"
314,"Return of the Pink Panther, The (1974)"
315,Sabrina (1954)
316,"Taming of the Shrew, The (1967)"
317,Cabaret (1972)
318,Peter Pan (1953)
319,My Fair Lady (1964)
320,"King and I, The (1956)"
321,Meet Me in St. Louis (1944)
322,Fantasia (1940)
323,Cinderella (1950)
324,"American in Paris, An (1951)"
325,Oliver! (1968)
326,Aladdin (1992)
327,West Side Story (1961)
328,"Lion King, The (1994)"
329,Guys and Dolls (1955)
330,"Inspector General, The (1949)"
331,Victor/Victoria (1982)
332,Help! (1965)
333,"Muppet Christmas Carol, The (1992)"
334,Muppet Treasure Island (1996)
335,Grease (1978)
336,Yellow Submarine (1968)
337,Gigi (1958)
338,Sleeping Beauty (1959)
339,James and the Giant Peach (1996)
340,Dirty Dancing (1987)
341,Funny Face (1957)
342,"Great Race, The (1965)"
343,"Hunchback of Notre Dame, The (1996)"
344,Lady and the Tramp (1955)
345,Evita (1996)
346,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
347,Pocahontas (1995)
348,Jaws (1975)
349,Forrest Gump (1994)
350,"Wrong Trousers, The (1993)"
351,Eat Drink Man Woman (1994)
352,Godzilla (1998)
353,Faces (1968)
354,"Manchurian Candidate, The (1962)"
355,"Outlaw Josey Wales, The (1976)"
356,"Cider House Rules, The (1999)"
357,"Godfather: Part II, The (1974)"
358,Who's Afraid of Virginia Woolf? (1966)
359,Stalag 17 (1953)
360,"Insider, The (1999)"
361,To Kill a Mockingbird (1962)
362,Inherit the Wind (1960)
363,"Hustler, The (1961)"
364,"Lost Weekend, The (1945)"
365,"Man for All Seasons, A (1966)"
366,Dog Day Afternoon (1975)
367,October Sky (1999)
368,Splendor in the Grass (1961)
369,"Cutting Edge, The (1992)"
370,"Boat, The (Das Boot) (1981)"
371,"Grapes of Wrath, The (1940)"
372,Three Kings (1999)
373,Hamlet (1948)
374,Year of Living Dangerously (1982)
375,Gentleman's Agreement (1947)
376,Hud (1963)
377,Anywhere But Here (1999)
378,All About Eve (1950)
379,"Best Years of Our Lives, The (1946)"
380,Parenthood (1989)
381,In the Heat of the Night (1967)
382,"Last Picture Show, The (1971)"
383,Of Human Bondage (1934)
384,Witness (1985)
385,"Green Mile, The (1999)"
386,"French Connection, The (1971)"
387,Seven Beauties (Pasqualino Settebellezze) (1976)
388,On the Beach (1959)
389,East of Eden (1955)
390,Affliction (1997)
391,Ordinary People (1980)
392,"Lady Vanishes, The (1938)"
393,Nikita (La Femme Nikita) (1990)
394,Strangers on a Train (1951)
395,Rebecca (1940)
396,"39 Steps, The (1935)"
397,Rope (1948)
398,Dial M for Murder (1954)
399,"Man Who Knew Too Much, The (1956)"
400,Cape Fear (1962)
401,"Fugitive, The (1993)"
402,Spellbound (1945)
403,"Odessa File, The (1974)"
404,"Boys from Brazil, The (1978)"
405,Stigmata (1999)
406,Seven (Se7en) (1995)
407,Dead Again (1991)
408,Rosemary's Baby (1968)
409,Poltergeist (1982)
410,"Matrix, The (1999)"
411,Scream (1996)
412,"Hunt for Red October, The (1990)"
413,Enemy of the State (1998)
414,Shallow Grave (1994)
415,Frenzy (1972)
416,Coma (1978)
417,"Dead Zone, The (1983)"
418,"Big Lebowski, The (1998)"
419,Marnie (1964)
420,Cape Fear (1991)
421,"X-Files: Fight the Future, The (1998)"
422,Face/Off (1997)
423,Speed (1994)
424,"Firm, The (1993)"
425,It Happened One Night (1934)
426,Sleeper (1973)
427,Toy Story 2 (1999)
428,"Sting, The (1973)"
429,My Favorite Year (1982)
430,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
431,Broadcast News (1987)
432,Titanic (1997)
433,Bulworth (1998)
434,Teenage Mutant Ninja Turtles (1990)
435,"Faculty, The (1998)"
436,Arachnophobia (1990)
437,"13th Warrior, The (1999)"
438,"Astronaut's Wife, The (1999)"
439,20 Dates (1998)
440,American Pie (1999)
441,10 Things I Hate About You (1999)
442,Austin Powers: The Spy Who Shagged Me (1999)
443,Arlington Road (1999)
444,"Bone Collector, The (1999)"
445,"Best Man, The (1999)"
446,Best Laid Plans (1999)
447,"Beach, The (2000)"
448,Bowfinger (1999)
449,Big Daddy (1999)
450,"Blair Witch Project, The (1999)"
451,Baby Geniuses (1999)
452,Clerks (1994)
453,"Civil Action, A (1998)"
454,"Cat from Outer Space, The (1978)"
455,Brokedown Palace (1999)
456,Doctor Dolittle (1998)
457,"Deep End of the Ocean, The (1999)"
458,Cruel Intentions (1999)
459,"Doors, The (1991)"
460,Double Jeopardy (1999)
461,Dick (1999)
462,Desert Blue (1999)
463,Detroit Rock City (1999)
464,Deep Blue Sea (1999)
465,Dead Calm (1989)
466,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)"
467,Down in the Delta (1998)
468,Erin Brockovich (2000)
469,End of Days (1999)
470,Elizabeth (1998)
471,Dudley Do-Right (1999)
472,Entrapment (1999)
473,Eyes Wide Shut (1999)
474,Fantasia 2000 (1999)
475,Frances (1982)
476,"House on Haunted Hill, The (1999)"
477,Instinct (1999)
478,In the Mouth of Madness (1995)
479,Gods and Monsters (1998)
480,"Haunting, The (1999)"
481,"Ideal Husband, An (1999)"
482,Happiness (1998)
483,"Love Letter, The (1999)"
484,Jakob the Liar (1999)
485,Magnolia (1999)
486,Kingpin (1996)
487,Last Night (1998)
488,Lake Placid (1999)
489,Jack Frost (1998)
490,Little Voice (1998)
491,Mission to Mars (2000)
492,Mickey Blue Eyes (1999)
493,"Mosquito Coast, The (1986)"
494,Monkey Shines (1988)
495,"Messenger: The Story of Joan of Arc, The (1999)"
496,Night of the Living Dead (1968)
497,Payback (1999)
498,Out of Africa (1985)
499,Never Been Kissed (1999)
500,Phantasm (1979)
501,"Out-of-Towners, The (1999)"
502,Pacific Heights (1990)
503,"Next Best Thing, The (2000)"
504,Mystery Men (1999)
505,Office Space (1999)
506,Priest (1994)
507,Pitch Black (2000)
508,Powder (1995)
509,Random Hearts (1999)
510,Pushing Tin (1999)
511,"Poseidon Adventure, The (1972)"
512,Plenty (1985)
513,Romy and Michele's High School Reunion (1997)
514,Ravenous (1999)
515,Restoration (1995)
516,"Red Violin, The (Le Violon rouge) (1998)"
517,Rushmore (1998)
518,Return to Oz (1985)
519,Sleepy Hollow (1999)
520,Simply Irresistible (1999)
521,She's All That (1999)
522,Stir of Echoes (1999)
523,"South Park: Bigger, Longer and Uncut (1999)"
524,Scream 3 (2000)
525,"Thirteenth Floor, The (1999)"
526,Summer of Sam (1999)
527,"Talented Mr. Ripley, The (1999)"
528,"Velocity of Gary, The (1998)"
529,Trekkies (1997)
530,eXistenZ (1999)
531,Wishmaster (1997)
532,White Squall (1996)
533,Velvet Goldmine (1998)
534,Wild Wild West (1999)
535,Angela's Ashes (1999)
536,"Year My Voice Broke, The (1987)"
537,"End of the Affair, The (1999)"
538,Go Fish (1994)
539,"Whole Wide World, The (1996)"
540,"Rapture, The (1991)"
541,"Close Shave, A (1995)"
542,"Great Dictator, The (1940)"
543,Paris Is Burning (1990)
544,Diamonds (1999)
545,City Lights (1931)
546,Persuasion (1995)
547,Hard-Boiled (Lashou shentan) (1992)
548,"Map of the World, A (1999)"
549,"Celebration, The (Festen) (1998)"
550,Modern Times (1936)
551,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
552,Yojimbo (1961)
553,Red Sorghum (Hong Gao Liang) (1987)
554,Mephisto (1981)
555,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
556,Buena Vista Social Club (1999)
557,"King of Masks, The (Bian Lian) (1996)"
558,Some Mother's Son (1996)
559,"Man Who Would Be King, The (1975)"
560,Jules and Jim (Jules et Jim) (1961)
561,Creature Comforts (1990)
562,Lone Star (1996)
563,"Searchers, The (1956)"
564,Cat on a Hot Tin Roof (1958)
565,"Thing From Another World, The (1951)"
566,Repulsion (1965)
567,Children of Paradise (Les enfants du paradis) (1945)
568,"Ref, The (1994)"
569,Mutiny on the Bounty (1935)
570,"Opposite of Sex, The (1998)"
571,Jude (1996)
572,Manon of the Spring (Manon des sources) (1986)
573,"Double Life of Veronique, The (La Double Vie de Véronique) (1991)"
574,"Good Earth, The (1937)"
575,Living in Oblivion (1995)
576,Wonderland (1997)
577,"Day the Earth Stood Still, The (1951)"
578,Prick Up Your Ears (1987)
579,Marathon Man (1976)
580,Barry Lyndon (1975)
581,Matewan (1987)
582,Dogma (1999)
583,Bastard Out of Carolina (1996)
584,Othello (1952)
585,In the Company of Men (1997)
586,Laura (1944)
587,"Wild Bunch, The (1969)"
588,Lord of the Flies (1963)
589,Chariots of Fire (1981)
590,Hollow Reed (1996)
591,"Shining, The (1980)"
592,Roger & Me (1989)
593,Still Breathing (1997)
594,All That Jazz (1979)
595,Diva (1981)
596,Red Rock West (1992)
597,King Kong (1933)
598,Little Lord Fauntleroy (1936)
599,Drugstore Cowboy (1989)
600,"Asphalt Jungle, The (1950)"
601,Pink Flamingos (1972)
602,"Professional, The (a.k.a. Leon: The Professional) (1994)"
603,"Hi-Lo Country, The (1998)"
604,"Straight Story, The (1999)"
605,True Crime (1995)
606,"Good, The Bad and The Ugly, The (1966)"
607,Dracula (1931)
608,"Thing, The (1982)"
609,"Adventures of Robin Hood, The (1938)"
610,Boys Don't Cry (1999)
611,Bride of Frankenstein (1935)
612,Metropolitan (1990)
613,"War Zone, The (1999)"
614,"Elephant Man, The (1980)"
615,Midnight Express (1978)
616,Three Colors: White (1994)
617,"African Queen, The (1951)"
618,"Hunger, The (1983)"
619,Everest (1998)
620,Edward Scissorhands (1990)
621,Three Days of the Condor (1975)
622,Papillon (1973)
623,Misery (1990)
624,Planet of the Apes (1968)
625,Big Night (1996)
626,Steamboat Willie (1940)
627,Atlantic City (1980)
628,Breaking the Waves (1996)
629,Daddy Long Legs (1919)
630,Forbidden Planet (1956)
631,Snow White and the Seven Dwarfs (1937)
632,Twelve Monkeys (1995)
633,Boys Life (1995)
634,Rocky (1976)
635,Cemetery Man (Dellamorte Dellamore) (1994)
636,Patton (1970)
637,Suture (1993)
638,Goldfinger (1964)
639,Re-Animator (1985)
640,"Big One, The (1997)"
641,"War of the Worlds, The (1953)"
642,Hairspray (1988)
643,"Natural, The (1984)"
644,Smoke Signals (1998)
645,From Here to Eternity (1953)
646,Wild America (1997)
647,"Mariachi, El (1992)"
648,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934)
649,Lolita (1962)
650,Chungking Express (1994)
651,Midnight Run (1988)
652,American History X (1998)
653,Lethal Weapon (1987)
654,Dances with Wolves (1990)
655,Rosencrantz and Guildenstern Are Dead (1990)
656,While You Were Sleeping (1995)
657,Deliverance (1972)
658,Down by Law (1986)
659,Awakenings (1990)
660,Rob Roy (1995)
661,Fast Times at Ridgemont High (1982)
662,Old Yeller (1957)
663,Bob Roberts (1992)
664,Escape from New York (1981)
665,Braveheart (1995)
666,Evil Dead II (Dead By Dawn) (1987)
667,Alphaville (1965)
668,"Rescuers Down Under, The (1990)"
669,"Falcon and the Snowman, The (1984)"
670,Akira (1988)
671,Koyaanisqatsi (1983)
672,"Dirty Dozen, The (1967)"
673,From Russia with Love (1963)
674,Village of the Damned (1960)
675,Passion Fish (1992)
676,Nil By Mouth (1997)
677,Vacation (1983)
678,Pleasantville (1998)
679,2 Days in the Valley (1996)
680,True Romance (1993)
681,"Madness of King George, The (1994)"
682,Stand and Deliver (1987)
683,"Buddy Holly Story, The (1978)"
684,"Purple Rose of Cairo, The (1985)"
685,Searching for Bobby Fischer (1993)
686,Dead Man (1995)
687,101 Dalmatians (1961)
688,Heaven's Prisoners (1996)
689,Carrie (1976)
690,Manny & Lo (1996)
691,"Name of the Rose, The (1986)"
692,Being There (1979)
693,Out of Sight (1998)
694,"They Shoot Horses, Don't They? (1969)"
695,Indochine (1992)
696,Real Genius (1985)
697,Giant (1956)
698,Dazed and Confused (1993)
699,Primal Fear (1996)
700,Tex (1982)
701,Dr. No (1962)
702,Twelfth Night (1996)
703,Henry: Portrait of a Serial Killer (1990)
704,This Is My Father (1998)
705,"Flamingo Kid, The (1984)"
706,Tarzan (1999)
707,Double Happiness (1994)
708,Bambi (1942)
709,Big (1988)
710,"Thin Red Line, The (1998)"
711,"Walk on the Moon, A (1999)"
712,"Winslow Boy, The (1998)"
713,Malcolm X (1992)
714,Lifeforce (1985)
715,"Omen, The (1976)"
716,In the Name of the Father (1993)
717,Grosse Pointe Blank (1997)
718,Pale Rider (1985)
719,Boogie Nights (1997)
720,"Mask, The (1994)"
721,Dave (1993)
722,"Nightmare Before Christmas, The (1993)"
723,What's Eating Gilbert Grape (1993)
724,"Remains of the Day, The (1993)"
725,Waking Ned Devine (1998)
726,Pinocchio (1940)
727,Them! (1954)
728,"Raisin in the Sun, A (1961)"
729,"Bug's Life, A (1998)"
730,Different for Girls (1996)
731,"Fisher King, The (1991)"
732,"Commitments, The (1991)"
733,"Prophecy, The (1995)"
734,Jurassic Park (1993)
735,"Pajama Game, The (1957)"
736,Kramer Vs. Kramer (1979)
737,Dumbo (1941)
738,Shadowlands (1993)
739,"Fistful of Dollars, A (1964)"
740,"Joy Luck Club, The (1993)"
741,Mulan (1998)
742,Much Ado About Nothing (1993)
743,Jackie Brown (1997)
744,"Bronx Tale, A (1993)"
745,My Cousin Vinny (1992)
746,"Believers, The (1987)"
747,And the Band Played On (1993)
748,Clueless (1995)
749,Gaslight (1944)
750,"Ghost and Mrs. Muir, The (1947)"
751,Sliding Doors (1998)
752,Shine (1996)
753,Pi (1998)
754,"Breakfast Club, The (1985)"
755,Murphy's Romance (1985)
756,"Chambermaid on the Titanic, The (1998)"
757,My Own Private Idaho (1991)
758,Heat (1995)
759,Jerry Maguire (1996)
760,Fright Night (1985)
761,Glen or Glenda (1953)
762,Nightwatch (1997)
763,Tough Guys (1986)
764,"Adventures of Priscilla, Queen of the Desert, The (1994)"
765,Tin Men (1987)
766,Without Limits (1998)
767,"Great Mouse Detective, The (1986)"
768,Army of Darkness (1993)
769,Kundun (1997)
770,Great Expectations (1998)
771,In the Line of Fire (1993)
772,"English Patient, The (1996)"
773,"Slums of Beverly Hills, The (1998)"
774,"Jerk, The (1979)"
775,Blade (1998)
776,Nobody's Fool (1994)
777,Howards End (1992)
778,"Secret Garden, The (1993)"
779,What Ever Happened to Baby Jane? (1962)
780,Muriel's Wedding (1994)
781,Schizopolis (1996)
782,Cold Comfort Farm (1995)
783,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
784,Short Cuts (1993)
785,"Christmas Carol, A (1938)"
786,Blue Sky (1994)
787,Chasing Amy (1997)
788,Brighton Beach Memoirs (1986)
789,"Trip to Bountiful, The (1985)"
790,"Color of Money, The (1986)"
791,Fly Away Home (1996)
792,Sweet and Lowdown (1999)
793,"Quiet Man, The (1952)"
794,Patriot Games (1992)
795,Matilda (1996)
796,"Big Blue, The (Le Grand Bleu) (1988)"
797,Walking and Talking (1996)
798,Working Girl (1988)
799,Hilary and Jackie (1998)
800,Nineteen Eighty-Four (1984)
801,"Game, The (1997)"
802,There's Something About Mary (1998)
803,Up in Smoke (1978)
804,"Last of the Mohicans, The (1992)"
805,Superman (1978)
806,King of New York (1990)
807,Lolita (1997)
808,Madame Sousatzka (1988)
809,Primary Colors (1998)
810,Nighthawks (1981)
811,"Wedding Gift, The (1994)"
812,Go Now (1995)
813,Pushing Hands (1992)
814,Hana-bi (1997)
815,"Inkwell, The (1994)"
816,Living Out Loud (1998)
817,"Outsiders, The (1983)"
818,Total Recall (1990)
819,American Psycho (2000)
820,L.A. Story (1991)
821,Infinity (1996)
822,"Bear, The (1988)"
823,"League of Their Own, A (1992)"
824,Dolores Claiborne (1994)
825,"Great Muppet Caper, The (1981)"
826,Unstrung Heroes (1995)
827,"Lock, Stock & Two Smoking Barrels (1998)"
828,Gattaca (1997)
829,Men in Black (1997)
830,Pecker (1998)
831,Indian Summer (a.k.a. Alive & Kicking) (1996)
832,Sleepers (1996)
833,To Sir with Love (1967)
834,"American President, The (1995)"
835,Love and Death on Long Island (1997)
836,"Little Mermaid, The (1989)"
837,Time Bandits (1981)
838,Something Wicked This Way Comes (1983)
839,High Fidelity (2000)
840,Man on the Moon (1999)
841,Rosewood (1997)
842,Die Hard 2 (1990)
843,Flirting With Disaster (1996)
844,Mute Witness (1994)
845,Swingers (1996)
846,Hands on a Hard Body (1996)
847,Hope Floats (1998)
848,"Good Morning, Vietnam (1987)"
849,Everyone Says I Love You (1996)
850,"Journey of Natty Gann, The (1985)"
851,Smoke (1995)
852,Bram Stoker's Dracula (1992)
853,Marvin's Room (1996)
854,My Son the Fanatic (1998)
855,Terms of Endearment (1983)
856,Mansfield Park (1999)
857,'Night Mother (1986)
858,Shampoo (1975)
859,Ronin (1998)
860,Murder in the First (1995)
861,Antz (1998)
862,Strange Days (1995)
863,"Odd Couple, The (1968)"
864,Young Sherlock Holmes (1985)
865,"End of Violence, The (1997)"
866,"Muppets Take Manhattan, The (1984)"
867,"Fly, The (1958)"
868,Swiss Family Robinson (1960)
869,Michael Collins (1996)
870,Enchanted April (1991)
871,"Little Shop of Horrors, The (1960)"
872,"People vs. Larry Flynt, The (1996)"
873,Grand Canyon (1991)
874,Ulee's Gold (1997)
875,Charlotte's Web (1973)
876,"Little Princess, A (1995)"
877,Pump Up the Volume (1990)
878,High Art (1998)
879,Wes Craven's New Nightmare (1994)
880,Betrayed (1988)
881,Lethal Weapon 2 (1989)
